Time,X_Index,Y_Index,Concentration
0.03600,25,45,0.70958
0.03600,25,46,0.76575
0.03600,25,47,0.82319
0.03600,25,48,0.88158
0.03600,25,49,0.94063
0.03600,25,50,1.00000
0.04500,25,0,0.00000
0.04500,25,1,0.00041
0.04500,25,2,0.00085
0.04500,25,3,0.00132
0.04500,25,4,0.00185
0.04500,25,5,0.00245
0.04500,25,6,0.00317
0.04500,25,7,0.00401
0.04500,25,8,0.00500
0.04500,25,9,0.00619
0.04500,25,10,0.00760
0.04500,25,11,0.00928
0.04500,25,12,0.01128
0.04500,25,13,0.01363
0.04500,25,14,0.01640
0.04500,25,15,0.01964
0.04500,25,16,0.02343
0.04500,25,17,0.02784
0.04500,25,18,0.03294
0.04500,25,19,0.03882
0.04500,25,20,0.04556
0.04500,25,21,0.05327
0.04500,25,22,0.06204
0.04500,25,23,0.07196
0.04500,25,24,0.08315
0.04500,25,25,0.09571
0.04500,25,26,0.10974
0.04500,25,27,0.12535
0.04500,25,28,0.14264
0.04500,25,29,0.16170
0.04500,25,30,0.18262
0.04500,25,31,0.20548
0.04500,25,32,0.23036
0.04500,25,33,0.25730
0.04500,25,34,0.28636
0.04500,25,35,0.31755
0.04500,25,36,0.35089
0.04500,25,37,0.38637
0.04500,25,38,0.42395
0.04500,25,39,0.46359
0.04500,25,40,0.50521
0.04500,25,41,0.54872
0.04500,25,42,0.59400
0.04500,25,43,0.64092
0.04500,25,44,0.68932
0.04500,25,45,0.73902
0.04500,25,46,0.78984
0.04500,25,47,0.84157
0.04500,25,48,0.89399
0.04500,25,49,0.94688
0.04500,25,50,1.00000
0.05400,25,0,0.00000
0.05400,25,1,0.00095
0.05400,25,2,0.00194
0.05400,25,3,0.00298
0.05400,25,4,0.00411
0.05400,25,5,0.00536
0.05400,25,6,0.00676
0.05400,25,7,0.00836
0.05400,25,8,0.01018
0.05400,25,9,0.01227
0.05400,25,10,0.01468
0.05400,25,11,0.01744
0.05400,25,12,0.02061
0.05400,25,13,0.02424
0.05400,25,14,0.02840
0.05400,25,15,0.03313
0.05400,25,16,0.03852
0.05400,25,17,0.04462
0.05400,25,18,0.05151
0.05400,25,19,0.05926
0.05400,25,20,0.06795
0.05400,25,21,0.07766
0.05400,25,22,0.08846
0.05400,25,23,0.10045
0.05400,25,24,0.11369
0.05400,25,25,0.12827
0.05400,25,26,0.14427
0.05400,25,27,0.16174
0.05400,25,28,0.18077
0.05400,25,29,0.20141
0.05400,25,30,0.22372
0.05400,25,31,0.24774
0.05400,25,32,0.27352
0.05400,25,33,0.30106
0.05400,25,34,0.33039
0.05400,25,35,0.36151
0.05400,25,36,0.39441
0.05400,25,37,0.42906
0.05400,25,38,0.46541
0.05400,25,39,0.50341
0.05400,25,40,0.54298
0.05400,25,41,0.58405
0.05400,25,42,0.62651
0.05400,25,43,0.67025
0.05400,25,44,0.71513
0.05400,25,45,0.76101
0.05400,25,46,0.80776
0.05400,25,47,0.85520
0.05400,25,48,0.90317
0.05400,25,49,0.95150
0.05400,25,50,1.00000
0.06300,25,0,0.00000
0.06300,25,1,0.00171
0.06300,25,2,0.00345
0.06300,25,3,0.00527
0.06300,25,4,0.00721
0.06300,25,5,0.00930
0.06300,25,6,0.01158
0.06300,25,7,0.01410
0.06300,25,8,0.01689
0.06300,25,9,0.02002
0.06300,25,10,0.02351
0.06300,25,11,0.02743
0.06300,25,12,0.03183
0.06300,25,13,0.03675
0.06300,25,14,0.04226
0.06300,25,15,0.04841
0.06300,25,16,0.05526
0.06300,25,17,0.06288
0.06300,25,18,0.07133
0.06300,25,19,0.08068
0.06300,25,20,0.09098
0.06300,25,21,0.10230
0.06300,25,22,0.11471
0.06300,25,23,0.12826
0.06300,25,24,0.14303
0.06300,25,25,0.15906
0.06300,25,26,0.17642
0.06300,25,27,0.19514
0.06300,25,28,0.21528
0.06300,25,29,0.23687
0.06300,25,30,0.25995
0.06300,25,31,0.28455
0.06300,25,32,0.31066
0.06300,25,33,0.33831
0.06300,25,34,0.36750
0.06300,25,35,0.39820
0.06300,25,36,0.43039
0.06300,25,37,0.46405
0.06300,25,38,0.49913
0.06300,25,39,0.53556
0.06300,25,40,0.57329
0.06300,25,41,0.61223
0.06300,25,42,0.65230
0.06300,25,43,0.69340
0.06300,25,44,0.73542
0.06300,25,45,0.77825
0.06300,25,46,0.82176
0.06300,25,47,0.86583
0.06300,25,48,0.91031
0.06300,25,49,0.95509
0.06300,25,50,1.00000
0.07200,25,0,0.00000
0.07200,25,1,0.00262
0.07200,25,2,0.00529
0.07200,25,3,0.00804
0.07200,25,4,0.01092
0.07200,25,5,0.01397
0.07200,25,6,0.01725
0.07200,25,7,0.02079
0.07200,25,8,0.02464
0.07200,25,9,0.02886
0.07200,25,10,0.03348
0.07200,25,11,0.03857
0.07200,25,12,0.04416
0.07200,25,13,0.05032
0.07200,25,14,0.05709
0.07200,25,15,0.06453
0.07200,25,16,0.07270
0.07200,25,17,0.08165
0.07200,25,18,0.09143
0.07200,25,19,0.10210
0.07200,25,20,0.11371
0.07200,25,21,0.12632
0.07200,25,22,0.13997
0.07200,25,23,0.15472
0.07200,25,24,0.17061
0.07200,25,25,0.18768
0.07200,25,26,0.20597
0.07200,25,27,0.22552
0.07200,25,28,0.24635
0.07200,25,29,0.26850
0.07200,25,30,0.29196
0.07200,25,31,0.31677
0.07200,25,32,0.34292
0.07200,25,33,0.37041
0.07200,25,34,0.39922
0.07200,25,35,0.42934
0.07200,25,36,0.46074
0.07200,25,37,0.49338
0.07200,25,38,0.52722
0.07200,25,39,0.56221
0.07200,25,40,0.59828
0.07200,25,41,0.63537
0.07200,25,42,0.67340
0.07200,25,43,0.71227
0.07200,25,44,0.75191
0.07200,25,45,0.79222
0.07200,25,46,0.83309
0.07200,25,47,0.87441
0.07200,25,48,0.91608
0.07200,25,49,0.95798
0.07200,25,50,1.00000
0.08100,25,0,0.00000
0.08100,25,1,0.00363
0.08100,25,2,0.00731
0.08100,25,3,0.01108
0.08100,25,4,0.01499
0.08100,25,5,0.01909
0.08100,25,6,0.02342
0.08100,25,7,0.02803
0.08100,25,8,0.03297
0.08100,25,9,0.03828
0.08100,25,10,0.04402
0.08100,25,11,0.05024
0.08100,25,12,0.05698
