seed,ps,N,target_occupancy,max_steps_per_walker,occupied_pixels,occupancy,bbox_density,perimeter,perimeter_per_occupied,R_g,D_est,D_r,max_width,height,aspect_ratio,top_row_fraction,touches_top,endpoints,branchpoints,skeleton_length,branching_ratio
8,0.5,100,0.1,100000,1000,0.1,0.16622340425531915,929,0.929,58.95126801011154,1.6961587113893797,0.9992844673953292,64,94,0.6808510638297872,0.0,0,235,94,650,0.4
9,0.5,100,0.1,100000,1000,0.1,0.15384615384615385,910,0.91,66.11119421096551,1.4036774610288014,0.999989083923443,65,100,0.65,0.53,1,203,78,603,0.3842364532019704
10,0.5,100,0.1,100000,1000,0.1,0.1694915254237288,939,0.939,55.59720316706588,1.467934831290142,0.9999262962982403,59,100,0.59,0.05,1,238,91,651,0.38235294117647056
11,0.5,100,0.1,100000,1000,0.1,0.15873015873015872,927,0.927,50.23685897824425,1.5221970596792262,0.9997167541123023,75,84,0.8928571428571429,0.0,0,210,90,630,0.42857142857142855
12,0.5,100,0.1,100000,1000,0.1,0.16129032258064516,920,0.92,67.09303987747164,1.457803906354814,0.9997173744742555,62,100,0.62,0.62,1,209,76,622,0.36363636363636365
13,0.5,100,0.1,100000,1000,0.1,0.12195121951219512,909,0.909,67.98182109946747,1.2924812503605776,0.9999134989419076,82,100,0.82,0.76,1,194,68,615,0.35051546391752575
14,0.5,100,0.1,100000,1000,0.1,0.18867924528301888,912,0.912,60.08210216029396,1.4213801290944013,0.9999833549743523,53,100,0.53,0.52,1,211,79,634,0.3744075829383886
15,0.5,100,0.1,100000,1000,0.1,0.15625,937,0.937,59.43620108990816,1.5221970596792262,0.9999998659995467,64,100,0.64,0.27,1,232,74,652,0.31896551724137934
16,0.5,100,0.1,100000,1000,0.1,0.2127659574468085,924,0.924,64.92427897173754,1.5721949546675873,0.9999033725702461,47,100,0.47,0.47,1,197,85,625,0.43147208121827413
17,0.5,100,0.1,100000,1000,0.1,0.15625,916,0.916,52.41658134598249,1.561691207752641,0.9994421822400396,64,100,0.64,0.09,1,205,79,614,0.3853658536585366
18,0.5,100,0.1,100000,1000,0.1,0.14084507042253522,929,0.929,68.56108954793527,1.3276759143062766,0.9996051516918704,71,100,0.71,0.52,1,219,92,646,0.4200913242009132
19,0.5,100,0.1,100000,1000,0.1,0.16666666666666666,933,0.933,58.65483782263829,1.4248328634577843,0.9997399403340448,60,100,0.6,0.27,1,221,84,635,0.38009049773755654
20,0.5,100,0.1,100000,1000,0.1,0.12987012987012986,912,0.912,67.85756405884314,1.3502198590705454,0.999926833520269,77,100,0.77,0.76,1,162,83,619,0.5123456790123457
21,0.5,100,0.1,100000,1000,0.1,0.14825796886582654,926,0.926,53.10244815448719,1.5734206941646354,0.9995837525868511,71,95,0.7473684210526316,0.0,0,197,108,670,0.5482233502538071
22,0.5,100,0.1,100000,1000,0.1,0.17295053614666206,923,0.923,53.07730211681826,1.6057520525968558,0.999616403424253,59,98,0.6020408163265306,0.0,0,217,72,623,0.3317972350230415
23,0.5,100,0.1,100000,1000,0.1,0.1949317738791423,941,0.941,54.31762145013347,1.5563500663746814,0.9998106986224332,54,95,0.5684210526315789,0.0,0,225,94,670,0.4177777777777778
24,0.5,100,0.1,100000,1000,0.1,0.18037518037518038,936,0.936,49.818279777607735,1.5963225389711972,0.9997967504679838,66,84,0.7857142857142857,0.0,0,237,87,636,0.3670886075949367
0,0.2,100,0.1,100000,1000,0.1,0.2527805864509606,862,0.862,45.76569676078361,1.5412310800959865,0.9999838701218273,46,86,0.5348837209302325,0.0,0,198,141,643,0.7121212121212122
1,0.2,100,0.1,100000,1000,0.1,0.23809523809523808,875,0.875,52.2682695332455,1.5390012560006368,0.9999062616625104,42,100,0.42,0.04,1,192,141,652,0.734375
2,0.2,100,0.1,100000,1000,0.1,0.21367521367521367,877,0.877,44.826956175943955,1.524621759509925,0.9999649145033722,60,78,0.7692307692307693,0.0,0,206,127,646,0.616504854368932
3,0.2,100,0.1,100000,1000,0.1,0.23148148148148148,898,0.898,40.866294179922896,1.608158953463382,0.9997737178376074,60,72,0.8333333333333334,0.0,0,204,113,649,0.553921568627451
4,0.2,100,0.1,100000,1000,0.1,0.2178649237472767,898,0.898,53.94596370443298,1.576001546722525,0.9997468904111475,51,90,0.5666666666666667,0.0,0,212,106,628,0.5
5,0.2,100,0.1,100000,1000,0.1,0.21547080370609784,887,0.887,53.016393691008446,1.5484307696262951,0.9998533876172694,51,91,0.5604395604395604,0.0,0,208,127,630,0.6105769230769231
6,0.2,100,0.1,100000,1000,0.1,0.21777003484320556,887,0.887,40.88123041201182,1.4904455885261476,0.9988546157288388,56,82,0.6829268292682927,0.0,0,196,136,666,0.6938775510204082
7,0.2,100,0.1,100000,1000,0.1,0.24177949709864605,891,0.891,49.28965408683652,1.5511808588148388,0.9999603244117721,47,88,0.5340909090909091,0.0,0,205,119,630,0.5804878048780487
8,0.2,100,0.1,100000,1000,0.1,0.21645021645021645,889,0.889,46.83730350906209,1.524621759509925,0.9999649145033722,55,84,0.6547619047619048,0.0,0,202,166,662,0.8217821782178217
9,0.2,100,0.1,100000,1000,0.1,0.24437927663734116,889,0.889,49.94602086252718,1.6286939213463258,0.9990009364482265,44,93,0.4731182795698925,0.0,0,218,129,637,0.591743119266055
10,0.2,100,0.1,100000,1000,0.1,0.2540650406504065,892,0.892,50.25738751666266,1.6047266828144748,0.9999935497198701,48,82,0.5853658536585366,0.0,0,201,121,642,0.6019900497512438
11,0.2,100,0.1,100000,1000,0.1,0.19357336430507163,881,0.881,41.834387768915654,1.5714789769210218,0.999706584905716,63,82,0.7682926829268293,0.0,0,201,120,644,0.5970149253731343
12,0.2,100,0.1,100000,1000,0.1,0.24224806201550386,906,0.906,46.03988488256677,1.580232336096623,0.9991472438664167,48,86,0.5581395348837209,0.0,0,211,147,663,0.6966824644549763
13,0.2,100,0.1,100000,1000,0.1,0.2168726957276079,894,0.894,47.948858172014894,1.4952386129407467,0.999265596859008,53,87,0.6091954022988506,0.0,0,224,111,618,0.4955357142857143
14,0.2,100,0.1,100000,1000,0.1,0.273000273000273,920,0.92,50.63860187643415,1.6035789538206433,0.9996225713597606,37,99,0.37373737373737376,0.0,0,206,120,645,0.5825242718446602
15,0.2,100,0.1,100000,1000,0.1,0.19230769230769232,876,0.876,56.79269319199434,1.5140984459153264,0.9999962953530338,52,100,0.52,0.08,1,191,122,622,0.6387434554973822
16,0.2,100,0.1,100000,1000,0.1,0.19607843137254902,901,0.901,42.8936825185248,1.557738608709968,0.9997904907558027,68,75,0.9066666666666666,0.0,0,214,113,646,0.5280373831775701
17,0.2,100,0.1,100000,1000,0.1,0.2144082332761578,878,0.878,50.34057011993408,1.5140984459153264,0.9999154459525542,53,88,0.6022727272727273,0.0,0,202,127,638,0.6287128712871287
18,0.2,100,0.1,100000,1000,0.1,0.2000800320128051,880,0.88,51.968856058220105,1.5437314206251698,0.9999857707951513,51,98,0.5204081632653061,0.0,0,191,120,625,0.6282722513089005
19,0.2,100,0.1,100000,1000,0.1,0.18254837531945967,901,0.901,47.4057907855148,1.388803789331776,0.9999405368857293,66,83,0.7951807228915663,0.0,0,203,129,659,0.6354679802955665
20,0.2,100,0.1,100000,1000,0.1,0.20833333333333334,921,0.921,46.509214140856,1.6437882950482927,0.9993634070153975,60,80,0.75,0.0,0,217,126,641,0.5806451612903226
21,0.2,100,0.1,100000,1000,0.1,0.2604166666666667,891,0.891,43.03425379857306,1.7010492217856727,0.9996625726053674,48,80,0.6,0.0,0,200,115,625,0.575
22,0.2,100,0.1,100000,1000,0.1,0.20807324178110695,904,0.904,49.075390981631514,1.5094295136256584,0.9985148130590423,54,89,0.6067415730337079,0.0,0,234,130,647,0.5555555555555556
23,0.2,100,0.1,100000,1000,0.1,0.24009603841536614,881,0.881,46.753588097599525,1.5342398689413834,0.9999286791193137,49,85,0.5764705882352941,0.0,0,197,121,643,0.6142131979695431
24,0.2,100,0.1,100000,1000,0.1,0.21645021645021645,889,0.889,43.11329261376357,1.5294468445267844,0.9994897012416359,55,84,0.6547619047619048,0.0,0,215,140,650,0.6511627906976745
0,0.1,100,0.1,100000,1000,0.1,0.26504108136761195,878,0.878,39.74302454519535,1.6557930753329515,0.9999991603930676,49,77,0.6363636363636364,0.0,0,203,177,679,0.8719211822660099
1,0.1,100,0.1,100000,1000,0.1,0.2853881278538813,855,0.855,42.79045454304032,1.6987961824097175,0.9997908002804208,48,73,0.6575342465753424,0.0,0,195,186,685,0.9538461538461539
2,0.1,100,0.1,100000,1000,0.1,0.2405002405002405,882,0.882,42.84597997478877,1.6008169305848254,0.9999836523240452,54,77,0.7012987012987013,0.0,0,186,200,683,1.075268817204301
3,0.1,100,0.1,100000,1000,0.1,0.2976190476190476,849,0.849,39.448992382569166,1.6987961824097175,0.9999972356979486,48,70,0.6857142857142857,0.0,0,190,182,659,0.9578947368421052
4,0.1,100,0.1,100000,1000,0.1,0.2540650406504065,858,0.858,43.95215580605802,1.4674524858890572,0.998721470979947,48,82,0.5853658536585366,0.0,0,176,180,672,1.0227272727272727
5,0.1,100,0.1,100000,1000,0.1,0.2658160552897395,872,0.872,34.843464236496345,1.623963756721793,0.9999983858181494,57,66,0.8636363636363636,0.0,0,190,190,690,1.0
6,0.1,100,0.1,100000,1000,0.1,0.2607561929595828,870,0.87,34.603121246500294,1.5849625007211565,0.9993433403265076,59,65,0.9076923076923077,0.0,0,184,191,687,1.0380434782608696
7,0.1,100,0.1,100000,1000,0.1,0.23719165085388993,875,0.875,37.159520987224795,1.623963756721793,0.9996562897061495,62,68,0.9117647058823529,0.0,0,186,169,672,0.9086021505376344
8,0.1,100,0.1,100000,1000,0.1,0.32051282051282054,887,0.887,44.85832141308901,1.623963756721793,0.9999983858181494,39,80,0.4875,0.0,0,187,167,659,0.893048128342246
9,0.1,100,0.1,100000,1000,0.1,0.3401360544217687,854,0.854,41.502831228724624,1.6239637567217926,0.9999038851141591,42,70,0.6,0.0,0,195,186,675,0.9538461538461539
