omega,ita,seed,n_particles,mean_sor_iter,median_sor_iter,std_sor_iter,max_sor_iter,min_sor_iter,total_sor_iter
1.75,2.0,1,999,51.58458458458458,1.0,83.60522972302417,1511,1,51533
1.75,2.0,2,999,52.73973973973974,1.0,81.9329930350406,1511,1,52687
1.75,2.0,3,999,51.16516516516516,1.0,84.36662536348702,1511,1,51114
1.75,2.0,4,999,57.93993993993994,40.0,78.06814351211271,1511,1,57882
1.8,0.0,0,999,28.765765765765767,28.0,44.47220442203584,1224,1,28737
1.8,0.0,1,999,28.27227227227227,24.0,45.7678122109471,1224,1,28244
1.8,0.0,2,999,28.0,27.0,44.35659485924847,1224,1,27972
1.8,0.0,3,999,27.78978978978979,25.0,44.297676462720375,1224,1,27762
1.8,0.0,4,999,28.37937937937938,30.0,43.83104351473744,1224,1,28351
1.8,0.5,0,999,44.269269269269266,42.0,46.6154863767043,1224,1,44225
1.8,0.5,1,999,45.98198198198198,42.0,49.83753058821039,1224,1,45936
1.8,0.5,2,999,45.691691691691695,44.0,47.383903124545974,1224,1,45646
1.8,0.5,3,999,43.92192192192192,41.0,47.05896786337622,1224,1,43878
1.8,0.5,4,999,44.11611611611612,43.0,46.595769080751936,1224,1,44072
1.8,1.0,0,999,60.88288288288288,54.0,50.65403368366357,1224,1,60822
1.8,1.0,1,999,59.06506506506506,50.0,52.52764914495475,1224,1,59006
1.8,1.0,2,999,62.506506506506504,57.0,49.82851180093586,1224,1,62444
1.8,1.0,3,999,60.429429429429426,54.0,49.12213104633499,1224,1,60369
1.8,1.0,4,999,59.01701701701702,53.0,49.99472155031573,1224,1,58958
1.8,1.5,0,999,56.866866866866864,51.0,63.13397811389505,1224,1,56810
1.8,1.5,1,999,52.569569569569566,42.0,66.84120481840891,1224,1,52517
1.8,1.5,2,999,59.526526526526524,53.0,60.89679356512591,1224,1,59467
1.8,1.5,3,999,53.78378378378378,47.0,66.09642982289309,1224,1,53730
1.8,1.5,4,999,57.093093093093096,54.0,61.596805995531895,1224,1,57036
1.8,2.0,0,999,48.206206206206204,1.0,71.09103640388498,1224,1,48158
1.8,2.0,1,999,47.68368368368368,1.0,71.99375768210209,1224,1,47636
1.8,2.0,2,999,47.54454454454454,1.0,70.9838888780265,1224,1,47497
1.8,2.0,3,999,46.327327327327325,1.0,72.78249277964574,1224,1,46281
1.8,2.0,4,999,52.206206206206204,38.0,67.22570056412845,1224,1,52154
1.85,0.0,0,999,34.08108108108108,35.0,39.08780230098839,935,1,34047
1.85,0.0,1,999,32.950950950950954,31.0,39.81182711424799,935,1,32918
1.85,0.0,2,999,33.53553553553554,33.0,39.35720363499489,935,1,33502
1.85,0.0,3,999,33.113113113113116,31.0,39.18616814632697,935,1,33080
1.85,0.0,4,999,34.268268268268265,36.0,38.92103481480367,935,1,34234
1.85,0.5,0,999,49.57757757757758,53.0,38.69875102724643,935,1,49528
1.85,0.5,1,999,50.027027027027025,48.0,40.49607638367874,935,1,49977
1.85,0.5,2,999,50.131131131131134,54.0,38.88580625047617,935,1,50081
1.85,0.5,3,999,48.65565565565566,51.0,39.058790747797424,935,1,48607
1.85,0.5,4,999,48.93593593593594,52.0,39.12624135618655,935,1,48887
1.85,1.0,0,999,62.4004004004004,67.0,40.851838545558664,935,1,62338
1.85,1.0,1,999,60.771771771771775,59.0,41.77035703331556,935,1,60711
1.85,1.0,2,999,63.85585585585586,68.0,38.70378827026772,935,1,63792
1.85,1.0,3,999,62.051051051051054,63.0,39.399323637589205,935,1,61989
1.85,1.0,4,999,61.730730730730734,64.0,40.22736391281363,935,1,61669
1.85,1.5,0,999,53.77977977977978,57.0,52.77285785399185,935,1,53726
1.85,1.5,1,999,48.7967967967968,49.0,55.991095296504525,935,1,48748
1.85,1.5,2,999,55.53553553553554,63.0,51.25611844615875,935,1,55480
1.85,1.5,3,999,51.952952952952955,55.0,53.98680731579653,935,1,51901
1.85,1.5,4,999,54.47747747747748,62.0,51.1870819700034,935,1,54423
1.85,2.0,0,999,43.173173173173176,1.0,59.60491411643732,935,1,43130
1.85,2.0,1,999,42.354354354354356,1.0,60.490028948254924,935,1,42312
1.85,2.0,2,999,42.786786786786784,1.0,59.738230990107276,935,1,42744
1.85,2.0,3,999,41.327327327327325,1.0,61.06826751481677,935,1,41286
1.85,2.0,4,999,47.87887887887888,47.0,56.35848314998649,935,1,47831
1.9000000000000001,0.0,0,999,46.545545545545544,47.0,41.585081419595085,638,1,46499
1.9000000000000001,0.0,1,999,44.167167167167165,43.0,41.16760686435418,638,1,44123
1.9000000000000001,0.0,2,999,45.945945945945944,47.0,42.33631354435111,638,1,45900
1.9000000000000001,0.0,3,999,45.447447447447445,45.0,42.19466056708316,638,1,45402
1.9000000000000001,0.0,4,999,47.128128128128125,50.0,41.79689677691131,638,1,47081
1.9000000000000001,0.5,0,999,66.0,71.0,39.050005158807636,638,1,65934
1.9000000000000001,0.5,1,999,65.25725725725725,65.0,38.13070725439807,638,1,65192
1.9000000000000001,0.5,2,999,68.73573573573573,75.0,38.90796916183795,638,1,68667
1.9000000000000001,0.5,3,999,64.07107107107107,69.0,38.93561269441954,638,1,64007
1.9000000000000001,0.5,4,999,66.07507507507508,72.0,39.17938735819044,638,1,66009
1.9000000000000001,1.0,0,999,77.92192192192192,87.0,35.55635195114909,638,1,77844
1.9000000000000001,1.0,1,999,76.33433433433433,81.0,35.33857874165021,638,1,76258
1.9000000000000001,1.0,2,999,80.37737737737737,92.0,36.22818253706177,638,1,80297
1.9000000000000001,1.0,3,999,78.08308308308308,86.0,34.73223909477534,638,1,78005
1.9000000000000001,1.0,4,999,77.91591591591592,88.0,36.15915404649693,638,1,77838
1.9000000000000001,1.5,0,999,59.2982982982983,73.0,48.56943583370421,638,1,59239
1.9000000000000001,1.5,1,999,54.07507507507508,66.0,50.79473865317366,638,1,54021
1.9000000000000001,1.5,2,999,62.98398398398398,79.0,48.1749579170969,638,1,62921
1.9000000000000001,1.5,3,999,60.32132132132132,78.0,48.5932007076182,638,1,60261
1.9000000000000001,1.5,4,999,61.171171171171174,77.0,48.23129676587026,638,1,61110
1.9000000000000001,2.0,0,999,43.547547547547545,1.0,52.688286620828066,638,1,43504
1.9000000000000001,2.0,1,999,42.208208208208205,1.0,52.97993550636836,638,1,42166
1.9000000000000001,2.0,2,999,42.287287287287285,1.0,52.476454976259824,638,1,42245
1.9000000000000001,2.0,3,999,40.768768768768766,1.0,52.91078469199174,638,1,40728
1.9000000000000001,2.0,4,999,51.48248248248248,62.0,51.93263368909119,638,1,51431
