seed,ita,N,steps,stop_threshold,debug,omega,parallel,occupied_pixels,occupancy,bbox_density,perimeter,perimeter_per_occupied,R_g,D_est,D_r,max_width,height,aspect_ratio,top_row_fraction,touches_top,endpoints,branchpoints,skeleton_length,branching_ratio
7,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4740834386852086,6531,0.7256666666666667,67.77707003273468,1.7864448342102905,0.9999066411553185,168,113,1.4867256637168142,0.0,0,1239,2122,5983,1.7126715092816789
8,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4343629343629344,6639,0.7376666666666667,69.85403114113507,1.7602859567256,0.9990889385118238,185,112,1.6517857142857142,0.0,0,1241,2129,6064,1.7155519742143432
9,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4873294346978557,6610,0.7344444444444445,68.76343020336707,1.7924812503605778,0.999878907498767,171,108,1.5833333333333333,0.0,0,1182,2255,6140,1.9077834179357023
10,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4478503184713376,6596,0.7328888888888889,70.548665630345,1.7405633448683082,0.9996689008062353,157,128,1.2265625,0.0,0,1187,2209,6127,1.860994102780118
11,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4914004914004914,6479,0.7198888888888889,67.86125797046009,1.7649104732643472,0.9997776771741947,165,111,1.4864864864864864,0.0,0,1200,2245,6114,1.8708333333333333
12,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.5031305903398927,6596,0.7328888888888889,68.3678091892181,1.76624754041351,0.9995434335007952,172,104,1.6538461538461537,0.0,0,1243,2164,6101,1.7409493161705552
13,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4849137931034483,6546,0.7273333333333334,68.70663238242238,1.8440279968426296,0.9998667995882551,160,116,1.3793103448275863,0.0,0,1264,2182,6088,1.7262658227848102
14,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4485645933014354,6595,0.7327777777777778,68.20546735986623,1.8081293156053466,0.999942146619881,176,114,1.543859649122807,0.0,0,1182,2395,6229,2.026226734348562
15,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.48172135096076646,6569,0.7298888888888889,70.2259812636637,1.8684827970831026,0.999987717960673,157,119,1.319327731092437,0.0,0,1253,2204,6063,1.758978451715882
16,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.5006675567423231,6593,0.7325555555555555,68.71359561413027,1.7894693565466933,0.9997664172145059,168,107,1.5700934579439252,0.0,0,1198,2172,6125,1.8130217028380635
17,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.46487603305785125,6590,0.7322222222222222,68.88840250724355,1.7451628132915404,0.999526153249753,176,110,1.6,0.0,0,1160,2176,6085,1.8758620689655172
18,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4943968358602505,6699,0.7443333333333333,73.03615314805857,1.8324809113931877,0.9999975300372379,148,123,1.2032520325203253,0.0,0,1270,2209,6082,1.7393700787401576
19,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4914004914004914,6591,0.7323333333333333,69.95017512487013,1.7542746926009938,0.9998107066656697,165,111,1.4864864864864864,0.0,0,1208,2020,6007,1.6721854304635762
20,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.4699002767190518,6552,0.728,67.99054019167339,1.7803574772372397,0.9999311157767118,179,107,1.6728971962616823,0.0,0,1226,2175,6039,1.7740619902120718
21,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.463082068433239,6522,0.7246666666666667,68.24805084721793,1.7924812503605778,0.9999623365735871,169,115,1.4695652173913043,0.0,0,1186,2128,6030,1.794266441821248
22,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.474158368895211,6543,0.727,69.03920142450471,1.7572865864148786,0.9996237768580741,171,111,1.5405405405405406,0.0,0,1226,2170,6074,1.7699836867862968
23,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.430416068866571,6570,0.73,70.19131950129825,1.72372948848561,0.9998372095760832,170,123,1.3821138211382114,0.0,0,1271,2152,6031,1.6931549960660897
24,0.2,300,10000,0.1,False,1.72,True,9000,0.1,0.44221698113207547,6486,0.7206666666666667,69.94709588126031,1.7187026561536494,0.99899233985301,159,128,1.2421875,0.0,0,1227,2135,6009,1.7400162999185005
0,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3306270893795232,7243,0.8047777777777778,85.4769195618196,1.7131323773510494,0.9994962114688197,167,163,1.0245398773006136,0.0,0,1498,1642,5837,1.096128170894526
1,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3585371683531193,7247,0.8052222222222222,89.19995764822113,1.687519715673463,0.9998884380842689,163,154,1.0584415584415585,0.0,0,1490,1687,5937,1.132214765100671
2,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.35606899825921823,7321,0.8134444444444444,85.30573967923976,1.687519715673463,0.9997344889484577,178,142,1.2535211267605635,0.0,0,1517,1680,5990,1.107448912326961
3,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3569728700618753,7169,0.7965555555555556,81.62676235973919,1.6281698766298929,0.9998826484991005,191,132,1.446969696969697,0.0,0,1469,1729,5938,1.176991150442478
4,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.40144520272982737,7318,0.8131111111111111,81.43614608322824,1.6518903740885518,0.9989956679121991,159,141,1.127659574468085,0.0,0,1503,1698,5968,1.129740518962076
5,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.37387836490528414,7321,0.8134444444444444,83.98015374016781,1.687519715673463,0.9998884380842689,177,136,1.3014705882352942,0.0,0,1500,1757,5993,1.1713333333333333
6,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.32275416890801506,7274,0.8082222222222222,82.98086727272337,1.5849625007211567,0.9998033730335709,195,143,1.3636363636363635,0.0,0,1500,1646,5939,1.0973333333333333
7,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.37167045219905015,7248,0.8053333333333333,83.27196740533729,1.6025572149523066,0.9996633490535021,167,145,1.1517241379310346,0.0,0,1521,1728,5957,1.136094674556213
8,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.32789274264062956,7256,0.8062222222222222,84.66672834643423,1.6529042147620427,0.9999853928477597,188,146,1.2876712328767124,0.0,0,1532,1609,5877,1.0502610966057442
9,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.33763505402160865,7200,0.8,82.15103164294409,1.5437314206251702,0.9991429488092725,196,136,1.4411764705882353,0.0,0,1539,1576,5917,1.0240415854450942
10,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3733200597312096,7160,0.7955555555555556,92.9999074073613,1.6281698766298929,0.9994009689422212,147,164,0.8963414634146342,0.0,0,1534,1681,5854,1.0958279009126466
11,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3633720930232558,7225,0.8027777777777778,84.00976067629814,1.6787760023090423,0.9999278958804377,172,144,1.1944444444444444,0.0,0,1496,1630,5944,1.089572192513369
12,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.38461538461538464,7300,0.8111111111111111,81.07630425168078,1.687519715673463,0.9999902305555547,180,130,1.3846153846153846,0.0,0,1473,1693,5991,1.1493550577053633
13,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3345227475468332,7212,0.8013333333333333,85.51045874953283,1.5849625007211567,0.9991830992477209,177,152,1.1644736842105263,0.0,0,1503,1658,5892,1.1031270791749834
14,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.34259611724400457,7349,0.8165555555555556,83.14416863363165,1.687519715673463,0.9998884380842689,185,142,1.3028169014084507,0.0,0,1473,1741,6008,1.1819416157501696
15,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.351123595505618,7236,0.804,85.56775742714724,1.669925001442313,0.9999593864617328,178,144,1.2361111111111112,0.0,0,1531,1644,5900,1.0738079686479425
16,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.358337314859054,7299,0.811,81.31686581925466,1.766247540413511,0.9999931055328692,182,138,1.318840579710145,0.0,0,1473,1813,6102,1.2308214528173795
17,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3412581048799909,7206,0.8006666666666666,85.58262544335606,1.669925001442313,0.9999593864617328,177,149,1.1879194630872483,0.0,0,1488,1735,5923,1.165994623655914
18,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3451449608835711,7341,0.8156666666666667,90.05097507029622,1.6787760023090423,0.9994799380926094,159,164,0.9695121951219512,0.0,0,1565,1752,6072,1.1194888178913738
19,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3732736095558044,7249,0.8054444444444444,85.0353887116025,1.687519715673463,0.9998884380842689,171,141,1.2127659574468086,0.0,0,1501,1645,5888,1.0959360426382412
20,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3697009530069011,7265,0.8072222222222222,80.31260244264975,1.7924812503605783,0.9999885245846624,179,136,1.3161764705882353,0.0,0,1519,1719,5916,1.131665569453588
21,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3730724589620295,7251,0.8056666666666666,82.89323320459343,1.687519715673463,0.9998884380842689,163,148,1.1013513513513513,0.0,0,1469,1718,5969,1.169503063308373
22,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.39052330122363965,7319,0.8132222222222222,84.218413135793,1.6025572149523066,0.9996633490535021,167,138,1.210144927536232,0.0,0,1436,1734,6027,1.2075208913649025
23,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3246519010172426,7360,0.8177777777777778,89.4820782801413,1.7046954680688515,0.9997877806509933,166,167,0.9940119760479041,0.0,0,1569,1627,5937,1.0369662205226258
24,0.4,300,10000,0.1,False,1.74,True,9000,0.1,0.3439972480220158,7313,0.8125555555555556,86.06174850394079,1.6961587113893801,0.9999989382875524,171,153,1.1176470588235294,0.0,0,1541,1759,5948,1.1414665801427644
0,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.23540489642184556,7684,0.8537777777777777,114.36535508817539,1.5993899320572489,0.9992875593939925,177,216,0.8194444444444444,0.0,0,1716,1255,5716,0.7313519813519813
1,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.26881720430107525,7627,0.8474444444444444,119.30438522256142,1.6135344542729606,0.9982390179701244,155,216,0.7175925925925926,0.0,0,1693,1201,5615,0.70939161252215
2,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.228310502283105,7684,0.8537777777777777,105.02855220261668,1.7029961798379183,0.9999643020558584,219,180,1.2166666666666666,0.0,0,1652,1286,5738,0.7784503631961259
3,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.28576871785101926,7715,0.8572222222222222,106.92749204744099,1.7582877628704534,0.9997222958527019,181,174,1.0402298850574712,0.0,0,1750,1205,5666,0.6885714285714286
4,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.27555800496004407,7690,0.8544444444444445,106.81399460952879,1.7789977265604433,0.9999985354355796,171,191,0.8952879581151832,0.0,0,1712,1262,5725,0.7371495327102804
5,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2764127764127764,7667,0.8518888888888889,112.63441500911009,1.76525735834939,0.9999806640811599,176,185,0.9513513513513514,0.0,0,1655,1367,5823,0.8259818731117825
6,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2638986629134412,7715,0.8572222222222222,107.6077263851336,1.7164797036380532,0.9999979728305076,174,196,0.8877551020408163,0.0,0,1660,1362,5843,0.8204819277108434
7,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.24752475247524752,7732,0.8591111111111112,111.0729069875578,1.6681416939322165,0.9999940939652702,180,202,0.8910891089108911,0.0,0,1716,1288,5786,0.7505827505827506
8,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.251959686450168,7661,0.8512222222222222,109.16709465564958,1.7582877628704534,0.9999636049790266,190,188,1.0106382978723405,0.0,0,1643,1279,5762,0.7784540474741327
9,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.30570652173913043,7683,0.8536666666666667,109.74493306450796,1.7369655941662066,0.9998678800279756,160,184,0.8695652173913043,0.0,0,1749,1213,5652,0.6935391652372784
10,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2576729271644526,7696,0.8551111111111112,127.86542057091815,1.7362438857313718,0.9999525691774308,148,236,0.6271186440677966,0.0,0,1665,1357,5856,0.815015015015015
11,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.272108843537415,7640,0.8488888888888889,108.38775658614665,1.7924812503605783,0.9999266967874824,175,189,0.9259259259259259,0.0,0,1751,1224,5667,0.6990291262135923
12,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2922077922077922,7735,0.8594444444444445,103.46582151716683,1.7924812503605783,0.9996514929162381,175,176,0.9943181818181818,0.0,0,1770,1328,5836,0.7502824858757062
13,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.24804321464006174,7722,0.858,110.90425750769596,1.7029961798379183,0.9999643020558584,188,193,0.9740932642487047,0.0,0,1723,1272,5811,0.7382472431804992
14,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2546689303904924,7689,0.8543333333333333,108.20546196934792,1.7789977265604433,0.999862638868012,186,190,0.9789473684210527,0.0,0,1685,1304,5790,0.7738872403560831
15,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2761159687068569,7705,0.8561111111111112,111.85542951109308,1.7029961798379183,0.9997126464982949,159,205,0.775609756097561,0.0,0,1764,1307,5756,0.7409297052154195
16,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.26903416733925206,7712,0.8568888888888889,106.92548495720435,1.7721602581119051,0.9996248246132238,189,177,1.0677966101694916,0.0,0,1714,1211,5758,0.706534422403734
17,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2768549280177187,7638,0.8486666666666667,109.28039165376376,1.7582877628704532,0.9999754915623533,172,189,0.91005291005291,0.0,0,1745,1223,5726,0.7008595988538682
18,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2597402597402597,7680,0.8533333333333334,118.39067718551341,1.6274069495144123,0.9995257878053697,165,210,0.7857142857142857,0.0,0,1654,1328,5748,0.8029020556227328
19,0.6000000000000001,300,10000,0.1,False,1.76,True,9000,0.1,0.2658396101019052,7625,0.8472222222222222,108.13690140023638,1.7369655941662066,0.9995214342983586,183,185,0.9891891891891892,0.0,0,1712,1325,5793,0.7739485981308412
