grid_index,nx,ny,n_steps_cap,n_steps_executed,dt,target_time,effective_time,stop_reason,ncells,runtime_sec,cells_per_sec,stable,l2_ux,l2_uy,l2_rho,rel_l2_ux,rel_l2_uy,rel_l2_rho,total_kinetic_energy,enstrophy,max_abs_vorticity,integrated_vorticity_magnitude,divergence_l2_error,mass_conservation_error
1,110,20,15000,2692,0.1,100.0,100.0,target_physical_time,2200,23.54489930003183,93.43849688909164,True,0.03313629687240437,0.01673563264239392,0.1140979552046042,0.3819168452365625,0.9695817204142408,0.10242318481731819,0.00175546251688233,0.1836379604631001,3.034367870552198,0.4763970486577011,0.1300071280835452,0.0
2,220,41,15000,6754,0.1,100.0,100.0,target_physical_time,9020,88.90903359994991,101.4520081343577,True,0.025859436986361485,0.03219930607584104,0.11404358804874118,0.2939373427804053,1.8338258779420455,0.10237935142909135,0.0031652653615608394,0.5244140960990354,7.281978926830336,0.7904406308806852,0.10634592563709717,0.0
3,330,61,15000,10842,0.1,100.0,100.0,target_physical_time,20130,293.5803178999922,68.56726685219157,True,0.017820363875718115,0.019860395880137143,0.1140227562411743,0.2017275451749052,1.1257434616209776,0.10236258892465462,0.0035568360891900476,0.6315415180088519,11.52044955966264,0.8344914491007678,0.0935132643227279,0.0
4,440,82,15000,15000,0.1,100.0,97.56341440238448,n_steps,36080,659.8630149000091,54.67801526270919,True,0.026611351211790583,0.032996196157999404,0.11401389465726115,0.3005818395626266,1.8655652173002621,0.10235541649945958,0.004090130928509082,0.7815704976509124,16.102995777221782,0.8936606316170478,0.05439965822443716,0.0
