grid_index,nx,ny,n_steps,target_time,effective_time,ncells,runtime_sec,cells_per_sec,stable,l2_ux,l2_uy,l2_rho,rel_l2_ux,rel_l2_uy,rel_l2_rho,total_kinetic_energy,enstrophy,max_abs_vorticity,integrated_vorticity_magnitude,divergence_l2_error,mass_conservation_error
1,220,41,1876,100.0,100.0,9020,0.7914663999690674,11396.567182577208,True,0.014957736133926407,0.011289794695577404,0.050003970410341936,0.16998158625359377,0.6434915167930843,0.04488929352976135,0.004296015735007341,0.7708227369457052,11.481517492677986,0.8366268435748562,0.050808077806063445,0.006033627461129975
2,330,61,2814,100.0,100.0,20130,2.591762700001709,7766.9147719375405,True,0.013601589104104103,0.01456842348185731,0.034280217291151424,0.15394313748526287,0.8257185696688871,0.030774550496051423,0.004250591499509167,0.7753479859920638,16.569489931272113,0.8222664476140537,0.04020490456918095,0.005839357049069055
3,440,82,3752,100.0,100.0,36080,6.253756699967198,5769.332215976558,True,0.011774355237645862,0.014540381249474753,0.025045416339745795,0.13297861275643896,0.82206773122562,0.022484382860959714,0.004189721844550269,0.7559236449695139,18.36729137255565,0.8081360489758559,0.03572852146763255,0.005686334569901183
4,550,102,4690,100.0,100.0,56100,12.380976099986583,4531.145165530268,True,0.009428361176666407,0.011759940383110222,0.019564498250227824,0.10635380386385264,0.6638763272428517,0.017563991361703973,0.004179286771180982,0.7724744330254775,21.040195962828573,0.8051658132380843,0.02822434138905401,0.005598579559366119
5,660,123,5629,100.0,100.0,81180,22.165612699987832,3662.4297779977255,True,0.007582238454175801,0.009723403268446892,0.015447150442312377,0.08545767650694472,0.5483761435254662,0.013867711830903622,0.004150166592261395,0.7662490367368713,21.652795583702208,0.7986917540406144,0.027881275468515113,0.005467536624334319
6,770,143,6567,100.0,100.0,110110,37.28722060000291,2953.02246260724,True,0.006690200600780405,0.00870208091885895,0.012714906107692991,0.07535894624158997,0.4904312010162283,0.011414864009068857,0.004153876842868635,0.778246246839998,24.266654412386064,0.7996891338159016,0.023717616750684574,0.005504181412951559
7,880,164,7505,100.0,100.0,144320,59.61565699998755,2420.8405520051574,True,0.005631677144475848,0.007356289113820656,0.010303960101350063,0.0634076538615038,0.4143697204317122,0.00925044263990823,0.004134036579045712,0.775261009856712,25.82651108904335,0.7955454705648809,0.023885812268766987,0.005397982418452787
8,990,184,8443,100.0,100.0,182160,88.14852550002979,2066.512161907217,True,0.0066621356654012935,0.008596654876869047,0.008752691432780972,0.07498504773972327,0.48404916819596205,0.00785780088661898,0.004138826763465107,0.7808437176448058,27.933503035609917,0.797415650596658,0.021089097825707597,0.005427949082236461
9,1100,205,9381,100.0,100.0,225500,145.24681879999116,1552.5296998794836,True,0.004639173558304898,0.006110377075925521,0.007106794220013261,0.05220403016699638,0.34396366698421804,0.006380213609902024,0.004122525769490965,0.7801139745862679,28.959817115784713,0.7934959407439263,0.020936146205609185,0.005351890934048766
