ita,seed,R_g,D_est,D_r,occupancy,perimeter,endpoints,branchpoints,skeleton_length
0.5,5,3.106122985330748,1.8242464234000155,0.9898929995004704,0.5,29,2,8,16
0.5,6,3.13776990870905,1.7721587209127447,0.9823249611080189,0.5,35,3,15,23
0.5,7,3.1916140117501675,1.9223702155727291,0.9931705783214417,0.5,32,2,5,14
0.5,8,3.3624395905354194,1.9492958382410812,0.9901881062151721,0.5,39,3,8,18
0.5,9,3.1651224304914334,1.8862106276005668,0.9922560304540253,0.5,39,1,12,18
0.5,10,3.0015995735607373,1.8315709671151015,0.9746453795734178,0.5,31,2,16,24
0.5,11,3.1239078091390597,1.9184827006103318,0.9979333309647735,0.5,27,2,0,10
0.5,12,3.208301731446093,2.0909994859153898,0.9797920550086572,0.5,36,1,10,19
0.5,13,3.216208948436031,1.948412048999533,0.9767577484018916,0.5,31,3,10,19
0.5,14,3.1051570008616314,1.8718787569637882,0.9967709030148308,0.5,30,4,5,16
0.5,15,3.1,1.846218068323507,0.9927999171922721,0.5,25,2,0,7
0.5,16,3.111591232793922,1.9414452114035092,0.9947120007987678,0.5,28,5,8,21
0.5,17,3.1873499964704224,1.7606358352530067,0.9831700932187767,0.5,30,2,7,16
0.5,18,3.1312617265249485,1.8850559032328449,0.9963971465580336,0.5,35,4,15,24
0.5,19,3.54400902933387,1.764048455223954,0.9915374199491561,0.5,35,1,12,19
1.0,0,3.140191076988787,1.9780452973321387,0.9948998009719763,0.5,34,2,11,17
1.0,1,3.172696014433151,1.7947691021580645,0.9883222110503851,0.5,35,2,11,19
1.0,2,3.269801217199602,1.7162364237188739,0.9930345164045155,0.5,28,4,8,19
1.0,3,3.3065389760291652,1.819721081588119,0.992649020221819,0.5,36,2,14,22
1.0,4,3.2499230760127227,1.8435208119609043,0.9899972892237611,0.5,30,4,13,19
1.0,5,3.1164081889251927,2.004728555188982,0.993609563205635,0.5,38,2,21,26
1.0,6,3.1087618113969424,1.911721174427055,0.9971601864152981,0.5,30,4,5,16
1.0,7,3.081363334629657,2.069799701443255,0.988186698839341,0.5,29,4,11,15
1.0,8,3.2140317359976396,1.753475168737797,0.9970521326645946,0.5,33,1,14,17
1.0,9,3.0854497241083023,2.2092260260838277,0.9910693143448163,0.5,31,1,12,17
1.0,10,3.048934240025521,1.918311470801625,0.9959495748264748,0.5,28,2,5,14
1.0,11,3.2115416858574326,1.9789259974604252,0.979666714911197,0.5,33,4,13,23
1.0,12,3.294480232145884,1.7445259228816865,0.9926783738792627,0.5,36,3,11,24
1.0,13,3.1293449793846633,2.4022516025128446,0.9943358122325859,0.5,34,1,11,16
1.0,14,3.0349958813810605,1.8753579595139143,0.9905631289356527,0.5,29,2,8,16
1.0,15,3.423682228244905,1.7254669626714323,0.9934733436548764,0.5,35,3,9,18
1.0,16,3.237344590864556,1.7940831419403247,0.9910088641551169,0.5,29,3,1,16
1.0,17,3.119038313326721,1.8534072799003394,0.9933903788263945,0.5,29,3,3,15
1.0,18,3.24037034920393,2.1889219757347718,0.9961762453010343,0.5,33,0,8,13
1.0,19,3.2077406378945295,1.7436082037351885,0.9767413556371201,0.5,33,2,8,18
2.0,0,3.0662680900403996,1.9296972742461362,0.9903764045121285,0.5,30,2,7,16
2.0,1,3.423331710483225,1.672710890468254,0.9872541726620985,0.5,32,3,4,15
2.0,2,3.2592023564056283,1.6928915263910256,0.9948787919803493,0.5,30,3,3,15
2.0,3,3.2053080975157444,1.742236603514502,0.9935628250652065,0.5,30,3,9,20
2.0,4,3.4127408339925256,1.7753061367689347,0.986122658485617,0.5,31,3,4,16
2.0,5,3.3674916480965473,2.0212323625856627,0.977039862472574,0.5,34,4,7,19
2.0,6,3.1549960380323774,1.8455311345859104,0.9903454509730515,0.5,29,4,6,17
2.0,7,3.423273287366932,1.6677585081934603,0.9960304630489222,0.5,33,4,8,19
2.0,8,3.3176497705454087,1.8019147409473302,0.9871323404465453,0.5,30,4,6,19
2.0,9,3.3623801093868018,1.6811349630454837,0.9887909019438484,0.5,31,3,1,18
2.0,10,3.377632306809017,1.7803840532618165,0.9874906573352693,0.5,33,1,1,15
2.0,11,3.3421549934136805,1.7576150826059653,0.9929128189755575,0.5,31,2,0,15
2.0,12,3.317951175047638,1.8220905049144203,0.9921132147151542,0.5,35,2,12,20
2.0,13,3.35761820342933,1.6941109136295112,0.9923402584907248,0.5,32,3,3,18
2.0,14,3.3504626546195078,1.7743223923017843,0.988193102630738,0.5,32,3,3,14
2.0,15,3.378757167953921,1.7476364062964964,0.9766579687064754,0.5,32,2,8,18
2.0,16,3.402704806473815,1.7119100246707148,0.9749485877765889,0.5,32,3,4,15
2.0,17,3.2518917571161556,1.7551385349747568,0.9868243984798839,0.5,30,3,3,15
