mesh_index,global_maxh,cyl_maxh,export_nx,export_ny,n_steps_cap,n_steps_executed,dt,target_time,effective_time,stop_reason,ncells,runtime_sec,cells_per_sec,stable,l2_ux,l2_uy,l2_rho,rel_l2_ux,rel_l2_uy,rel_l2_rho,total_kinetic_energy,enstrophy,max_abs_vorticity,integrated_vorticity_magnitude,divergence_l2_error,mass_conservation_error
1,0.05,0.005,77,14,10005,10001,0.001,10.0,10.000999999999896,target_physical_time,1078,94.08051359996898,11.45827078053234,True,0.018523032992479812,0.01764515849270232,0.11416826419679725,0.21610906916724706,1.0347030003904427,0.10247996321750595,0.003747984681131886,0.5241148610701568,3.7771476597448985,0.8180059535305506,0.10314242816380063,0.0
2,0.04,0.004,108,20,10005,10001,0.001,10.0,10.000999999999896,target_physical_time,2160,147.20375950000016,14.673538280114359,True,0.01980415849721585,0.020129651853002094,0.11411484491338714,0.22824682117554537,1.1658319750388797,0.10243678155051567,0.003747722855414896,0.5724710312513864,5.711537215683315,0.8150617717279695,0.08499610735547178,0.0
3,0.03,0.003,151,28,10005,10001,0.001,10.0,10.000999999999896,target_physical_time,4228,246.7778811000171,17.132815879420026,True,0.020296144826519247,0.020905197559544633,0.11408218680895092,0.23209601964515233,1.1990285331781054,0.10241045252958472,0.0037469797072149633,0.6036116652736271,7.964945509535257,0.8063822617701284,0.0737131591390373,0.0
4,0.02,0.002,220,41,10005,10001,0.001,10.0,10.000999999999896,target_physical_time,9020,484.1140881999745,18.631971718769897,True,0.020617187424922676,0.02145422676553249,0.11404358804874118,0.23435008621740472,1.2218684508666922,0.10237935142909135,0.003746035062409268,0.6431273140837057,11.78020611805379,0.8000664127915392,0.05450665948326423,0.0
